"Reported by";"Reported on";"Functional group";"Priority";"Rejected";"Ticket step";"Ticket state"
"JoMedina";"2017-11-27";"IOC-Veh Network Mgmt-Diagnostics";"A(1)";"Y";"Concluding";"Categorized"
"JoMedina";"2017-11-27";"Media";"A(1)";"Y";"Concluding";"Categorized"
"JoMedina";"2017-11-27";"Bluetooth-WIFI";"A(1)";"Y";"Concluding";"Categorized"
"JoMedina";"2017-11-27";"Systems";"top";"Y";"Concluding";"Categorized"
"JoBedolla";"2017-10-27";"HMI";"A(1)";"Y";"Concluding";"Categorized"
"JoBedolla";"2017-10-24";"HMI";"top";"Y";"Concluding";"Categorized"
"JoBedolla";"2017-10-21";"GM Suppliers";"D(4)";"N";"Concluding";"Verified"
"JoBedolla";"2017-10-21";"Connectivity";"C(3)";"Y";"Concluding";"Categorized"
"OBello";"2017-10-18";"Systems";"A(1)";"N";"Categorizing";"Entered"
"AleMacias";"2017-10-17";"Audio-DSP-Audio Mgr";"B(2)";"Y";"Concluding";"Categorized"
"AleMacias";"2017-10-14";"Media";"A(1)";"Y";"Concluding";"Categorized"
"AleMacias";"2017-10-14";"Connectivity";"B(2)";"Y";"Concluding";"Categorized"
"OBello";"2017-10-12";"Systems";"A(1)";"N";"Concluding";"Verified"
"OBello";"2017-10-12";"GM Suppliers";"B(2)";"N";"Reproduction";"Categorized"
"JoMedina";"2017-10-12";"GM Suppliers";"A(1)";"Y";"Concluding";"Categorized"
"JoMedina";"2017-10-12";"Systems";"top";"Y";"Concluding";"Categorized"
"JoMedina";"2017-10-12";"Media";"A(1)";"Y";"Concluding";"Categorized"
"OBello";"2017-10-12";"Audio-DSP-Audio Mgr";"top";"N";"Concluding";"Verified"
"VVargas";"2017-10-11";"HMI";"A(1)";"Y";"Concluding";"Categorized"
"VVargas";"2017-10-11";"Systems";"A(1)";"N";"Concluding";"Verified"
"VVargas";"2017-10-11";"Systems";"top";"Y";"Concluding";"Categorized"
"VVargas";"2017-10-11";"Tuners";"A(1)";"Y";"Concluding";"Categorized"
"JoMedina";"2017-10-11";"IOC-Veh Network Mgmt-Diagnostics";"top";"Y";"Concluding";"Categorized"
"IAngeles";"2017-10-11";"HMI";"D(4)";"N";"Processing";"Categorized"
"JoMedina";"2017-10-11";"HMI";"A(1)";"N";"Categorizing";"Entered"
"JoMedina";"2017-10-11";"GM Suppliers";"A(1)";"N";"Categorizing";"Entered"
"JoMedina";"2017-10-11";"GM Suppliers";"A(1)";"N";"Processing";"Categorized"
"JoMedina";"2017-10-11";"GM Suppliers";"A(1)";"N";"Concluding";"Verified"
"IAngeles";"2017-10-10";"HMI";"C(3)";"N";"Categorizing";"Entered"
"AleMacias";"2017-10-10";"HMI";"C(3)";"Y";"Concluding";"Categorized"
"AlberSanchez";"2017-10-09";"VR-Speech";"B(2)";"N";"Categorizing";"Entered"
"VVargas";"2017-10-09";"Media";"A(1)";"Y";"Concluding";"Categorized"
"VVargas";"2017-10-09";"Tuners";"B(2)";"Y";"Concluding";"Categorized"
"VVargas";"2017-10-09";"Media";"A(1)";"N";"Concluding";"Verified"
"VVargas";"2017-10-09";"Framework-Apps";"B(2)";"N";"Concluding";"Verified"
"VVargas";"2017-10-06";"HMI";"B(2)";"Y";"Concluding";"Categorized"
"OBello";"2017-10-06";"VR-Speech";"B(2)";"N";"Categorizing";"Entered"
"OBello";"2017-10-06";"Bluetooth-WIFI";"A(1)";"Y";"Concluding";"Categorized"
"OBello";"2017-10-06";"Media";"B(2)";"Y";"Concluding";"Categorized"
"JoMedina";"2017-10-06";"HMI";"A(1)";"Y";"Concluding";"Categorized"
"JoMedina";"2017-10-06";"HMI";"top";"Y";"Concluding";"Categorized"
"JoMedina";"2017-10-06";"HMI";"A(1)";"N";"Categorizing";"Entered"
"AleMacias";"2017-10-05";"IOC-Veh Network Mgmt-Diagnostics";"A(1)";"Y";"Concluding";"Categorized"
"AleMacias";"2017-10-05";"Ethernet AVB";"A(1)";"Y";"Concluding";"Categorized"
"OBello";"2017-10-04";"HMI";"B(2)";"N";"Concluding";"Verified"
"AleMacias";"2017-10-04";"Media";"B(2)";"N";"Processing";"Categorized"
"JoMedina";"2017-10-04";"Bluetooth-WIFI";"A(1)";"Y";"Concluding";"Categorized"
"JoMedina";"2017-10-04";"IOC-Veh Network Mgmt-Diagnostics";"top";"Y";"Concluding";"Categorized"
"JoMedina";"2017-10-04";"Media";"B(2)";"Y";"Concluding";"Categorized"
"VVargas";"2017-10-04";"HMI";"A(1)";"Y";"Concluding";"Categorized"
"VVargas";"2017-10-04";"Systems";"A(1)";"Y";"Concluding";"Categorized"
"VVargas";"2017-10-04";"Connectivity";"B(2)";"N";"Concluding";"Verified"
"AleMacias";"2017-10-03";"Media";"C(3)";"N";"Categorizing";"Entered"
"JoMedina";"2017-10-03";"Media";"A(1)";"Y";"Concluding";"Categorized"
"JoMedina";"2017-10-03";"GM Suppliers";"A(1)";"N";"Categorizing";"Entered"
"JoMedina";"2017-10-03";"Systems";"top";"Y";"Concluding";"Categorized"
